tim_poksi,folder_id_spt,folder_id_sptjm,template_id_spt_v1,template_id_spt_v2,template_id_sptjm,folder_id_surat_masuk,folder_id_surat_keluar,folder_id_notulensi,folder_id_spj,template_id_spj
Tata Usaha Direktorat Penyediaan Lahan,1fcuyFzsv8WkHCLMbJiUIFPQFG7qwqW5c,1OtnULCMT4UKJbgSlaQCL_zVPm8SkMtlF,17XTjNzd-oVqBxSvsC487p1WarQB1BgukSRwGS5Li6XY,1dpMMGokvyfdl52ZAqaZLjq4bMVuS7ItAc-MqHvJuuwc,1t2u-kIk5Nmusrf-yVrjk0tGWGCuDVAiUSRbHNN--tD8,1Gs9sSO_TLpXLg8ei-uUCMcc20fwzcR2k,1ytA3n88SaBvFdsw3LcPf9wHBiyr7FcPw,1evyjB7ziigjOOZD6FN4VX4Ds3EkQOYWB,,14GiF9glFYyg9TlC3Yt7lL2Edyfl1C89EDUz_XzcNQWU
Pendayagunaan Lahan,1wVdjpRrnnaO_E7u8T6xWtqg_5iXmFp6J,1akDlNy3OBXnbTXsLeS5B7sFTkw8JTKPC,17XTjNzd-oVqBxSvsC487p1WarQB1BgukSRwGS5Li6XY,1dpMMGokvyfdl52ZAqaZLjq4bMVuS7ItAc-MqHvJuuwc,1t2u-kIk5Nmusrf-yVrjk0tGWGCuDVAiUSRbHNN--tD8,1sI_TBJr3658mPWRjzvb14rpWG1fOFOAg,17bd6F-TN1l1Z8SCHFXDDo2nUSKUie6tI,19EqDWFRIJpfRDMUz7QmhlaxlMcDuxw57,,14GiF9glFYyg9TlC3Yt7lL2Edyfl1C89EDUz_XzcNQWU
Perancangan Teknis Penyediaan Lahan,1LaU7UYNxBriyKkfguF7mFJmyUKJduq-f,1beHOx9Jem3XJkrfpCrFwcey464lsHQw3,17XTjNzd-oVqBxSvsC487p1WarQB1BgukSRwGS5Li6XY,1dpMMGokvyfdl52ZAqaZLjq4bMVuS7ItAc-MqHvJuuwc,1t2u-kIk5Nmusrf-yVrjk0tGWGCuDVAiUSRbHNN--tD8,1yCdvKbLbhLUgvDInMBOabe6EIJzxrIyE,1B8mmGMKJx4qT4Pvck-E0l0v0L9QrzT2p,13_OgvUmqCNMNjVsblNKG0MgWITMxYo9J,,14GiF9glFYyg9TlC3Yt7lL2Edyfl1C89EDUz_XzcNQWU
Perluasan Lahan Wilayah I,1DEF0ZB2wWgboW0OZY95LyVh8YIErumRt,1GqGQSdFZd5PNxtrTgjq_ezV4tIEsj-Hp,17XTjNzd-oVqBxSvsC487p1WarQB1BgukSRwGS5Li6XY,1dpMMGokvyfdl52ZAqaZLjq4bMVuS7ItAc-MqHvJuuwc,1t2u-kIk5Nmusrf-yVrjk0tGWGCuDVAiUSRbHNN--tD8,18fgMM__NlCcgPACm6X00dkTlyDUF_-IS,1EUerOo3ajgCH2SUPyz8O9FuV7NDceorL,1wNtNucwWJdVhFVaPWwVNKerQqLPVMyQ0,,14GiF9glFYyg9TlC3Yt7lL2Edyfl1C89EDUz_XzcNQWU
Perluasan Lahan Wilayah II,1OsEVUwU8LQzt4jdivWdYnGZOhnLg3xar,1G_TOLI2URsOOYFb29EJsynGOoitTH5BP,17XTjNzd-oVqBxSvsC487p1WarQB1BgukSRwGS5Li6XY,1dpMMGokvyfdl52ZAqaZLjq4bMVuS7ItAc-MqHvJuuwc,1t2u-kIk5Nmusrf-yVrjk0tGWGCuDVAiUSRbHNN--tD8,1p5Jkvok-lvJt4KhhkVRNLioImkJspPGc,106GQlj0z63yRq4X4RBH-yc5iwCTtfCob,1RUjLiCcwRmMloDHDnaPG2tmEE5Yq7cMR,,14GiF9glFYyg9TlC3Yt7lL2Edyfl1C89EDUz_XzcNQWU
