No.Kec,Ibu Kota Kabupaten,Kabupaten/Kota,Prov,Kec_Kab,Tujuan2,Tujuan1,Prov.1,Tujuan Pesawat,Uang Harian,Es. I,Es. II,Es. III/Gol/IV,Es.IV /Gol/III/II/I,FB,FD,P. Bisnis,P. Ekonomi,Airport Tax,Taxi Jakarta,Taxi Daerah,B,Dlm Kota,Diklat
193,Labuha,Kab. Halmahera Selatan,Maluku Utara,"Labuha, Kab. Halmahera Selatan","Kab. Halmahera Selatan, Malut","Labuha, Kab. Halmahera Selatan, Maluku Utara",Malut,Sofifi,430.000,4.612.000,3.843.000,1.160.000,654.000,130.000,95.000,10.001.000,6.664.000,75.000,0,0,0,170.000,130.000
194,Lahat,Kab. Lahat,Sumatera Selatan,"Lahat, Kab. Lahat","Kab. Lahat, Sumsel","Lahat, Kab. Lahat, Sumatera Selatan",Sumsel,Palembang,380.000,6.298.000,3.083.000,1.966.000,861.000,130.000,95.000,3.861.000,2.268.000,75.000,0,0,0,150.000,110.000
195,Lahomi,Kab. Nias Barat,Sumatera Utara,"Lahomi, Kab. Nias Barat","Kab. Nias Barat, Sumut","Lahomi, Kab. Nias Barat, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
196,Lamongan,Kab. Lamongan,Jawa Timur,"Lamongan, Kab. Lamongan","Kab. Lamongan, Jatim","Lamongan, Kab. Lamongan, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
197,Langgur,Kab. Maluku Tenggara,Maluku,"Langgur, Kab. Maluku Tenggara","Kab. Maluku Tenggara, Maluku","Langgur, Kab. Maluku Tenggara, Maluku",Maluku,Ambon,380.000,3.467.000,3.240.000,1.059.000,667.000,130.000,95.000,13.285.000,7.081.000,70.000,0,0,0,150.000,110.000
198,Langgur,Kab. Maluku Tenggara,Maluku,"Langgur, Kab. Maluku Tenggara","Kab. Maluku Tenggara, Maluku","Langgur, Kab. Maluku Tenggara, Maluku",Maluku,Ambon,380.000,3.467.000,3.240.000,1.059.000,667.000,130.000,95.000,13.285.000,7.081.000,70.000,0,0,0,150.000,110.000
199,Langsa,Langsa,Aceh,Langsa,"Langsa, Aceh","Langsa, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
200,Larantuka,Kab. Flores Timur,Nusa Tenggara Timur,"Larantuka, Kab. Flores Timur","Kab. Flores Timur, NTT","Larantuka, Kab. Flores Timur, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
201,Lasusua,Kab. Kolaka Utara,Sulawesi Tenggara,"Lasusua, Kab. Kolaka Utara","Kab. Kolaka Utara, Sultra","Lasusua, Kab. Kolaka Utara, Sulawesi Tenggara",Sultra,Kendari,380.000,3.089.000,2.574.000,1.297.000,786.000,130.000,95.000,7.658.000,4.182.000,51.000,0,0,0,150.000,110.000
202,Lembang,Kab. Bandung Barat,Jawa Barat,"Lembang, Kab. Bandung Barat","Kab. Bandung Barat, Jabar","Lembang, Kab. Bandung Barat, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,200.000,200.000,0,0,0,200.000,170.000,130.000
203,Lewoleba,Kab. Lembata,Nusa Tenggara Timur,"Lewoleba, Kab. Lembata","Kab. Lembata, NTT","Lewoleba, Kab. Lembata, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
204,Lhokseumawe,Lhokseumawe,Aceh,Lhokseumawe,"Lhokseumawe, Aceh","Lhokseumawe, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
205,Lhoksukon,Kab. Aceh Utara,Aceh,"Lhoksukon, Kab. Aceh Utara","Kab. Aceh Utara, Aceh","Lhoksukon, Kab. Aceh Utara, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
206,Limapuluh,Kab. Batubara,Sumatera Utara,"Limapuluh, Kab. Batubara","Kab. Batubara, Sumut","Limapuluh, Kab. Batubara, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
207,Lotu,Kab. Nias Utara,Sumatera Utara,"Lotu, Kab. Nias Utara","Kab. Nias Utara, Sumut","Lotu, Kab. Nias Utara, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
208,Lubuk Basung,Kab. Agam,Sumatera Barat,"Lubuk Basung, Kab. Agam","Kab. Agam, Sumbar","Lubuk Basung, Kab. Agam, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,5.530.000,2.952.000,75.000,0,0,0,150.000,110.000
209,Lubuk Pakam,Kab. Deli Serdang,Sumatera Utara,"Lubuk Pakam, Kab. Deli Serdang","Kab. Deli Serdang, Sumut","Lubuk Pakam, Kab. Deli Serdang, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
210,Lubuk Sikaping,Kab. Pasaman,Sumatera Barat,"Lubuk Sikaping, Kab. Pasaman","Kab. Pasaman, Sumbar","Lubuk Sikaping, Kab. Pasaman, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,5.530.000,2.952.000,75.000,0,0,0,150.000,110.000
211,Lubuklinggau,Lubuklinggau,Sumatera Selatan,Lubuklinggau,"Lubuklinggau, Sumsel","Lubuklinggau, Sumatera Selatan",Sumsel,Palembang,380.000,6.298.000,3.083.000,1.966.000,861.000,130.000,95.000,3.861.000,2.268.000,75.000,0,0,0,150.000,110.000
212,Lumajang,Kab. Lumajang,Jawa Timur,"Lumajang, Kab. Lumajang","Kab. Lumajang, Jatim","Lumajang, Kab. Lumajang, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
213,Maba,Kab. Halmahera Timur,Maluku Utara,"Maba, Kab. Halmahera Timur","Kab. Halmahera Timur, Malut","Maba, Kab. Halmahera Timur, Maluku Utara",Malut,Sofifi,430.000,4.612.000,3.843.000,1.160.000,654.000,130.000,95.000,10.001.000,6.664.000,75.000,0,0,0,170.000,130.000
214,Madiun,Madiun,Jawa Timur,Madiun,"Madiun, Jatim","Madiun, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
215,Magelang,Magelang,Jawa Tengah,Magelang,"Magelang, Jateng","Magelang, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
216,Magetan,Kab. Magetan,Jawa Timur,"Magetan, Kab. Magetan","Kab. Magetan, Jatim","Magetan, Kab. Magetan, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
217,Majalengka,Kab. Majalengka,Jawa Barat,"Majalengka, Kab. Majalengka","Kab. Majalengka, Jabar","Majalengka, Kab. Majalengka, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,200.000,200.000,0,0,0,200.000,170.000,130.000
218,Majene,Kab. Majene,Sulawesi Barat,"Majene, Kab. Majene","Kab. Majene, Sulbar","Majene, Kab. Majene, Sulawesi Barat",Sulbar,Mamuju,410.000,4.076.000,3.098.000,1.344.000,704.000,130.000,95.000,7.295.000,4.867.000,52.000,0,0,0,160.000,120.000
219,Makale,Kab. Tana Toraja,Sulawesi Selatan,"Makale, Kab. Tana Toraja","Kab. Tana Toraja, Sulsel","Makale, Kab. Tana Toraja, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
220,Makassar,Makassar,Sulawesi Selatan,Makassar,"Makassar, Sulsel","Makassar, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
221,Malang,Malang,Jawa Timur,Malang,"Malang, Jatim","Malang, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,4.599.000,2.695.000,51.000,0,0,500.000,160.000,120.000
222,Malili,Kab. Luwu Timur,Sulawesi Selatan,"Malili, Kab. Luwu Timur","Kab. Luwu Timur, Sulsel","Malili, Kab. Luwu Timur, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
223,Malinau,Kab. Malinau,Kalimantan Utara,"Malinau, Kab. Malinau","Kab. Malinau, Kaltara","Malinau, Kab. Malinau, Kalimantan Utara",Kaltara,Tarakan,430.000,4.000.000,2.735.000,1.507.000,904.000,130.000,95.000,7.412.000,3.797.000,70.000,0,0,0,170.000,130.000
224,Mamasa,Kab. Mamasa,Sulawesi Barat,"Mamasa, Kab. Mamasa","Kab. Mamasa, Sulbar","Mamasa, Kab. Mamasa, Sulawesi Barat",Sulbar,Mamuju,410.000,4.076.000,3.098.000,1.344.000,704.000,130.000,95.000,7.295.000,4.867.000,52.000,0,0,0,160.000,120.000
225,Mamuju,Kab. Mamuju,Sulawesi Barat,"Mamuju, Kab. Mamuju","Kab. Mamuju, Sulbar","Mamuju, Kab. Mamuju, Sulawesi Barat",Sulbar,Mamuju,410.000,4.076.000,3.098.000,1.344.000,704.000,130.000,95.000,7.295.000,4.867.000,52.000,0,0,0,160.000,120.000
226,Manado,Manado,Sulawesi Utara,Manado,"Manado, Sulut","Manado, Sulawesi Utara",Sulut,Manado,370.000,4.919.000,2.290.000,1.270.000,978.000,130.000,95.000,10.824.000,5.102.000,80.000,0,0,0,150.000,110.000
227,Manggar,Kab. Belitung Timur,Bangka Belitung,"Manggar, Kab. Belitung Timur","Kab. Belitung Timur, Bangka Belitung","Manggar, Kab. Belitung Timur, Bangka Belitung",Bangka Belitung,Pangkal Pinang,410.000,4.134.000,2.838.000,1.957.000,676.000,130.000,95.000,3.412.000,2.139.000,60.000,0,0,0,160.000,120.000
228,Manokwari,Kab. Manokwari,Papua Barat,"Manokwari, Kab. Manokwari","Kab. Manokwari, Pabar","Manokwari, Kab. Manokwari, Papua Barat",Pabar,Manokwari,480.000,3.872.000,3.341.000,2.056.000,967.000,130.000,95.000,16.226.000,10.824.000,50.000,0,0,0,190.000,140.000
229,Manokwari,Manokwari,Papua Barat,Manokwari,"Manokwari, Pabar","Manokwari, Papua Barat",Pabar,Manokwari,480.000,3.872.000,3.341.000,2.056.000,967.000,130.000,95.000,16.226.000,10.824.000,50.000,0,0,0,190.000,140.000
230,Marabahan,Kab. Barito Kuala,Kalimantan Selatan,"Marabahan, Kab. Barito Kuala","Kab. Barito Kuala, Kalsel","Marabahan, Kab. Barito Kuala, Kalimantan Selatan",Kalsel,Banjarmasin,380.000,4.797.000,3.316.000,1.500.000,697.000,130.000,95.000,5.252.000,2.995.000,65.000,0,0,0,150.000,110.000
231,Marisa,Kab. Pohuwato,Gorontalo,"Marisa, Kab. Pohuwato","Kab. Pohuwato, Gorontalo","Marisa, Kab. Pohuwato, Gorontalo",Gorontalo,Gorontalo,370.000,4.168.000,3.107.000,1.606.000,955.000,130.000,95.000,7.231.000,4.824.000,60.000,0,0,0,150.000,110.000
232,Martapura,Kab. Banjar,Kalimantan Selatan,"Martapura, Kab. Banjar","Kab. Banjar, Kalsel","Martapura, Kab. Banjar, Kalimantan Selatan",Kalsel,Banjarmasin,380.000,4.797.000,3.316.000,1.500.000,697.000,130.000,95.000,5.252.000,2.995.000,65.000,0,0,0,150.000,110.000
233,Martapura.,Kab. Ogan Komering Ulu Timur,Sumatera Selatan,"Martapura., Kab. Ogan Komering Ulu Timur","Kab. Ogan Komering Ulu Timur, Sumsel","Martapura., Kab. Ogan Komering Ulu Timur, Sumatera Selatan",Sumsel,Palembang,380.000,6.298.000,3.083.000,1.966.000,861.000,130.000,95.000,3.861.000,2.268.000,75.000,0,0,0,150.000,110.000
234,Masamba,Kab. Luwu Utara,Sulawesi Selatan,"Masamba, Kab. Luwu Utara","Kab. Luwu Utara, Sulsel","Masamba, Kab. Luwu Utara, Sulawesi Selatan",Sulsel,Makassar,430.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,7.444.000,3.829.000,90.000,0,0,0,170.000,130.000
235,Masohi,Kab. Maluku Tengah,Maluku,"Masohi, Kab. Maluku Tengah","Kab. Maluku Tengah, Maluku","Masohi, Kab. Maluku Tengah, Maluku",Maluku,Ambon,380.000,3.467.000,3.240.000,1.059.000,667.000,130.000,95.000,13.285.000,7.081.000,70.000,0,0,0,150.000,110.000
236,Mataram,Mataram,Nusa Tenggara Barat,Mataram,"Mataram, NTB","Mataram, Nusa Tenggara Barat",NTB,Mataram,440.000,4.375.000,2.648.000,1.418.000,907.000,130.000,95.000,5.316.000,3.230.000,85.000,0,0,0,180.000,130.000
237,Mataram.,Kab. Lombok Barat,Nusa Tenggara Barat,"Mataram., Kab. Lombok Barat","Kab. Lombok Barat, NTB","Mataram., Kab. Lombok Barat, Nusa Tenggara Barat",NTB,Mataram,440.000,4.375.000,2.648.000,1.418.000,907.000,130.000,95.000,5.316.000,3.230.000,85.000,0,0,0,180.000,130.000
238,Maumere,Kab. Sikka,Nusa Tenggara Timur,"Maumere, Kab. Sikka","Kab. Sikka, NTT","Maumere, Kab. Sikka, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
239,Mbay,Kab. Nageko,Nusa Tenggara Timur,"Mbay, Kab. Nageko","Kab. Nageko, NTT","Mbay, Kab. Nageko, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
240,Medan,Medan,Sumatera Utara,Medan,"Medan, Sumut","Medan, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
241,Mejayan,Kab. Madiun,Jawa Timur,"Mejayan, Kab. Madiun","Kab. Madiun, Jatim","Mejayan, Kab. Madiun, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
242,Melonguane,Kab. Kep. Talaud,Sulawesi Utara,"Melonguane, Kab. Kep. Talaud","Kab. Kep. Talaud, Sulut","Melonguane, Kab. Kep. Talaud, Sulawesi Utara",Sulut,Manado,370.000,4.919.000,2.290.000,1.270.000,978.000,130.000,95.000,10.824.000,5.102.000,80.000,0,0,0,150.000,110.000
243,Mempawah,Kab. Pontianak,Kalimantan Barat,"Mempawah, Kab. Pontianak","Kab. Pontianak, Kalbar","Mempawah, Kab. Pontianak, Kalimantan Barat",Kalbar,Pontianak,380.000,2.654.000,1.923.000,1.125.000,538.000,130.000,95.000,4.353.000,2.781.000,70.000,0,0,0,150.000,110.000
244,Menggala,Kab. Tulang Bawang,Lampung,"Menggala, Kab. Tulang Bawang","Kab. Tulang Bawang, Lampung","Menggala, Kab. Tulang Bawang, Lampung",Lampung,Bandar Lampung,380.000,4.491.000,2.488.000,1.539.000,580.000,130.000,95.000,2.407.000,1.583.000,51.000,0,0,530.000,150.000,110.000
245,Mengwi,Kab. Badung,Bali,"Mengwi, Kab. Badung","Kab. Badung, Bali","Mengwi, Kab. Badung, Bali",Bali,Denpasar,480.000,6.848.000,2.433.000,1.685.000,1.138.000,130.000,95.000,5.305.000,3.262.000,115.000,0,0,0,190.000,140.000
246,Mentok,Kab. Bangka Selatan,Bangka Belitung,"Mentok, Kab. Bangka Selatan","Kab. Bangka Selatan, Bangka Belitung","Mentok, Kab. Bangka Selatan, Bangka Belitung",Bangka Belitung,Pangkal Pinang,410.000,4.134.000,2.838.000,1.957.000,676.000,130.000,95.000,3.412.000,2.139.000,60.000,0,0,0,160.000,120.000
247,Merauke,Kab. Merauke,Papua Selatan,"Merauke, Kab. Merauke","Kab. Merauke, Pasel","Merauke, Kab. Merauke, Papua",Pasel,Merauke,580.000,5.673.000,4.877.000,3.706.000,1.526.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
248,Merauke,Merauke,Papua Selatan,Merauke,"Merauke, Pasel","Merauke, Papua Selatan",Pasel,Merauke,580.000,5.673.000,4.877.000,3.706.000,1.526.000,130.000,95.000,16.226.000,10.824.000,50.000,0,0,0,230.000,170.000
249,Mesuji,Mesuji,Lampung,Mesuji,"Mesuji, Lampung","Mesuji, Lampung",Lampung,Bandar Lampung,380.000,4.491.000,2.488.000,1.539.000,580.000,130.000,95.000,2.407.000,1.583.000,51.000,0,0,530.000,150.000,110.000
250,Metro,Metro,Lampung,Metro,"Metro, Lampung","Metro, Lampung",Lampung,Bandar Lampung,380.000,4.491.000,2.488.000,1.539.000,580.000,130.000,95.000,2.407.000,1.583.000,51.000,0,0,530.000,150.000,110.000
251,Meulaboh,Kab. Aceh Barat,Aceh,"Meulaboh, Kab. Aceh Barat","Kab. Aceh Barat, Aceh","Meulaboh, Kab. Aceh Barat, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
252,Meureudu,Kab. Pidie Jaya,Aceh,"Meureudu, Kab. Pidie Jaya","Kab. Pidie Jaya, Aceh","Meureudu, Kab. Pidie Jaya, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
253,Mojokerto,Mojokerto,Jawa Timur,Mojokerto,"Mojokerto, Jatim","Mojokerto, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
254,Mojokerto.,Kab. Mojokerto,Jawa Timur,"Mojokerto., Kab. Mojokerto","Kab. Mojokerto, Jatim","Mojokerto., Kab. Mojokerto, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
255,Morotai Selatan,Kab. Pulau Morotai,Maluku Utara,"Morotai Selatan, Kab. Pulau Morotai","Kab. Pulau Morotai, Malut","Morotai Selatan, Kab. Pulau Morotai, Maluku Utara",Malut,Sofifi,430.000,4.612.000,3.843.000,1.160.000,654.000,130.000,95.000,10.001.000,6.664.000,75.000,0,0,0,170.000,130.000
256,Muara Aman,Kab. Lebong,Bengkulu,"Muara Aman, Kab. Lebong","Kab. Lebong, Bengkulu","Muara Aman, Kab. Lebong, Bengkulu",Bengkulu,Bengkulu,380.000,2.140.000,1.628.000,1.546.000,692.000,130.000,95.000,4.364.000,2.621.000,55.000,0,0,0,150.000,110.000
257,Muara Beliti Baru,Kab. Musi Rawas,Sumatera Selatan,"Muara Beliti Baru, Kab. Musi Rawas","Kab. Musi Rawas, Sumsel","Muara Beliti Baru, Kab. Musi Rawas, Sumatera Selatan",Sumsel,Palembang,380.000,6.298.000,3.083.000,1.966.000,861.000,130.000,95.000,3.861.000,2.268.000,75.000,0,0,0,150.000,110.000
258,Muara Bulian,Kab. Batanghari,Jambi,"Muara Bulian, Kab. Batanghari","Kab. Batanghari, Jambi","Muara Bulian, Kab. Batanghari, Jambi",Jambi,Jambi,370.000,5.004.000,4.102.000,1.225.000,580.000,130.000,95.000,4.065.000,2.460.000,65.000,0,0,0,150.000,110.000
259,Muara Bungo,Kab. Bungo,Jambi,"Muara Bungo, Kab. Bungo","Kab. Bungo, Jambi","Muara Bungo, Kab. Bungo, Jambi",Jambi,Jambi,370.000,5.004.000,4.102.000,1.225.000,580.000,130.000,95.000,4.065.000,2.460.000,65.000,0,0,0,150.000,110.000
260,Muara Enim,Kab. Muara Enim,Sumatera Selatan,"Muara Enim, Kab. Muara Enim","Kab. Muara Enim, Sumsel","Muara Enim, Kab. Muara Enim, Sumatera Selatan",Sumsel,Palembang,380.000,6.298.000,3.083.000,1.966.000,861.000,130.000,95.000,3.861.000,2.268.000,75.000,0,0,0,150.000,110.000
261,Muara Sabak,Kab. Tanjung Jabung Timur,Jambi,"Muara Sabak, Kab. Tanjung Jabung Timur","Kab. Tanjung Jabung Timur, Jambi","Muara Sabak, Kab. Tanjung Jabung Timur, Jambi",Jambi,Jambi,370.000,5.004.000,4.102.000,1.225.000,580.000,130.000,95.000,4.065.000,2.460.000,65.000,0,0,0,150.000,110.000
262,Muara Tebo,Kab. Tebo,Jambi,"Muara Tebo, Kab. Tebo","Kab. Tebo, Jambi","Muara Tebo, Kab. Tebo, Jambi",Jambi,Jambi,370.000,5.004.000,4.102.000,1.225.000,580.000,130.000,95.000,4.065.000,2.460.000,65.000,0,0,0,150.000,110.000
263,Muara Teweh,Kab. Barito Utara,Kalimantan Tengah,"Muara Teweh, Kab. Barito Utara","Kab. Barito Utara, Kalteng","Muara Teweh, Kab. Barito Utara, Kalimantan Tengah",Kalteng,Palangka raya,360.000,4.901.000,3.391.000,1.160.000,659.000,130.000,95.000,4.984.000,2.984.000,55.000,0,0,0,140.000,110.000
264,Muaradua,Kab. Ogan Komering Ulu Selatan,Sumatera Selatan,"Muaradua, Kab. Ogan Komering Ulu Selatan","Kab. Ogan Komering Ulu Selatan, Sumsel","Muaradua, Kab. Ogan Komering Ulu Selatan, Sumatera Selatan",Sumsel,Palembang,380.000,6.298.000,3.083.000,1.966.000,861.000,130.000,95.000,3.861.000,2.268.000,75.000,0,0,0,150.000,110.000
265,Muaro Sijunjung,Kab. Sijunjung,Sumatera Barat,"Muaro Sijunjung, Kab. Sijunjung","Kab. Sijunjung, Sumbar","Muaro Sijunjung, Kab. Sijunjung, Sumatera Barat",Sumbar,Padang,380.000,5.236.000,3.332.000,1.353.000,701.000,130.000,95.000,5.530.000,2.952.000,75.000,0,0,0,150.000,110.000
266,Mukomuko,Kab. Mukomuko,Bengkulu,"Mukomuko, Kab. Mukomuko","Kab. Mukomuko, Bengkulu","Mukomuko, Kab. Mukomuko, Bengkulu",Bengkulu,Bengkulu,380.000,2.140.000,1.628.000,1.546.000,692.000,130.000,95.000,4.364.000,2.621.000,55.000,0,0,0,150.000,110.000
267,Mungkid,Kab. Magelang,Jawa Tengah,"Mungkid, Kab. Magelang","Kab. Magelang, Jateng","Mungkid, Kab. Magelang, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.182.000,70.000,0,0,400.000,150.000,110.000
268,Nabire,Kab. Nabire,Papua Tengah,"Nabire, Kab. Nabire","Kab. Nabire, Pate","Nabire, Kab. Nabire, Papua",Pate,Nabire,580.000,3.859.000,3.318.000,2.521.000,1.038.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
269,Nabire.,Nabire.,Papua Tengah,Nabire,"Nabire., Pate","Nabire, Papua Tengah",Pate,Nabire,580.000,3.859.000,3.318.000,2.521.000,1.038.000,130.000,95.000,16.226.000,10.824.000,50.000,0,0,0,230.000,170.000
270,Namlea,Kab. Buru,Maluku,"Namlea, Kab. Buru","Kab. Buru, Maluku","Namlea, Kab. Buru, Maluku",Maluku,Ambon,380.000,3.467.000,3.240.000,1.059.000,667.000,130.000,95.000,13.285.000,7.081.000,70.000,0,0,0,150.000,110.000
271,Namrole,Kab. Buru Selatan,Maluku,"Namrole, Kab. Buru Selatan","Kab. Buru Selatan, Maluku","Namrole, Kab. Buru Selatan, Maluku",Maluku,Ambon,380.000,3.467.000,3.240.000,1.059.000,667.000,130.000,95.000,13.285.000,7.081.000,70.000,0,0,0,150.000,110.000
272,Nanga Bulik,Kab. Lamandau,Kalimantan Tengah,"Nanga Bulik, Kab. Lamandau","Kab. Lamandau, Kalteng","Nanga Bulik, Kab. Lamandau, Kalimantan Tengah",Kalteng,Palangka raya,360.000,4.901.000,3.391.000,1.160.000,659.000,130.000,95.000,4.984.000,2.984.000,55.000,0,0,0,140.000,110.000
273,Nanga Pinoh,Kab. Melawi,Kalimantan Barat,"Nanga Pinoh, Kab. Melawi","Kab. Melawi, Kalbar","Nanga Pinoh, Kab. Melawi, Kalimantan Barat",Kalbar,Pontianak,380.000,2.654.000,1.923.000,1.125.000,538.000,130.000,95.000,4.353.000,2.781.000,70.000,0,0,0,150.000,110.000
274,Negara,Kab. Jembrana,Bali,"Negara, Kab. Jembrana","Kab. Jembrana, Bali","Negara, Kab. Jembrana, Bali",Bali,Denpasar,480.000,6.848.000,2.433.000,1.685.000,1.138.000,130.000,95.000,5.305.000,3.262.000,115.000,0,0,0,190.000,140.000
275,Ngabang,Kab. Landak,Kalimantan Barat,"Ngabang, Kab. Landak","Kab. Landak, Kalbar","Ngabang, Kab. Landak, Kalimantan Barat",Kalbar,Pontianak,380.000,2.654.000,1.923.000,1.125.000,538.000,130.000,95.000,4.353.000,2.781.000,70.000,0,0,0,150.000,110.000
276,Ngamprah,Kab. Bandung Barat,Jawa Barat,"Ngamprah, Kab. Bandung Barat","Kab. Bandung Barat, Jabar","Ngamprah, Kab. Bandung Barat, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,200.000,200.000,0,0,0,200.000,170.000,130.000
277,Nganjuk,Kab. Nganjuk,Jawa Timur,"Nganjuk, Kab. Nganjuk","Kab. Nganjuk, Jatim","Nganjuk, Kab. Nganjuk, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
278,Ngawi,Kab. Ngawi,Jawa Timur,"Ngawi, Kab. Ngawi","Kab. Ngawi, Jatim","Ngawi, Kab. Ngawi, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
279,Nunukan,Kab. Nunukan,Kalimantan Utara,"Nunukan, Kab. Nunukan","Kab. Nunukan, Kaltara","Nunukan, Kab. Nunukan, Kalimantan Utara",Kaltara,Tarakan,430.000,4.000.000,2.735.000,1.507.000,904.000,130.000,95.000,7.412.000,3.797.000,70.000,0,0,0,170.000,130.000
