No.Kec,Ibu Kota Kabupaten,Kabupaten/Kota,Prov,Kec_Kab,Tujuan2,Tujuan1,Prov.1,Tujuan Pesawat,Uang Harian,Es. I,Es. II,Es. III/Gol/IV,Es.IV /Gol/III/II/I,FB,FD,P. Bisnis,P. Ekonomi,Airport Tax,Taxi Jakarta,Taxi Daerah,B,Dlm Kota,Diklat
134,Jepara,Kab. Jepara,Jawa Tengah,"Jepara, Kab. Jepara","Kab. Jepara, Jateng","Jepara, Kab. Jepara, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.182.000,70.000,0,0,400.000,150.000,110.000
135,Jombang,Kab. Jombang,Jawa Timur,"Jombang, Kab. Jombang","Kab. Jombang, Jatim","Jombang, Kab. Jombang, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
136,Kabanjahe,Kab. Karo,Sumatera Utara,"Kabanjahe, Kab. Karo","Kab. Karo, Sumut","Kabanjahe, Kab. Karo, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
137,Kaimana,Kab. Kaimana,Papua Barat,"Kaimana, Kab. Kaimana","Kab. Kaimana, Pabar","Kaimana, Kab. Kaimana, Papua Barat",Pabar,Manokwari,480.000,3.872.000,3.341.000,2.056.000,967.000,130.000,95.000,16.226.000,10.824.000,50.000,0,0,0,190.000,140.000
138,Kajen,Kab. Pekalongan,Jawa Tengah,"Kajen, Kab. Pekalongan","Kab. Pekalongan, Jateng","Kajen, Kab. Pekalongan, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
139,Kalabahi,Kab. Alor,Nusa Tenggara Timur,"Kalabahi, Kab. Alor","Kab. Alor, NTT","Kalabahi, Kab. Alor, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
140,Kalianda,Kab. Lampung Selatan,Lampung,"Kalianda, Kab. Lampung Selatan","Kab. Lampung Selatan, Lampung","Kalianda, Kab. Lampung Selatan, Lampung",Lampung,Bandar Lampung,380.000,4.491.000,2.488.000,1.539.000,580.000,130.000,95.000,2.407.000,1.583.000,51.000,0,0,530.000,150.000,110.000
141,Kamu,Kab. Dogiyai,Papua Tengah,"Kigamani, Kab. Dogiyai","Kab. Dogiyai, Pate","Kigamani, Kab. Dogiyai, Papua",Pate,Nabire,580.000,3.859.000,3.318.000,2.521.000,1.038.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
142,Kandangan,Kab. Hulu Sungai Selatan,Kalimantan Selatan,"Kandangan, Kab. Hulu Sungai Selatan","Kab. Hulu Sungai Selatan, Kalsel","Kandangan, Kab. Hulu Sungai Selatan, Kalimantan Selatan",Kalsel,Banjarmasin,380.000,4.797.000,3.316.000,1.500.000,697.000,130.000,95.000,5.252.000,2.995.000,65.000,0,0,0,150.000,110.000
143,Kanigoro,Kab. Blitar,Jawa Timur,"Kanigoro, Kab. Blitar","Kab. Blitar, Jatim","Kanigoro, Kab. Blitar, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
144,Karang Baru,Kab. Aceh Tamiang,Aceh,"Karang Baru, Kab. Aceh Tamiang","Kab. Aceh Tamiang, Aceh","Karang Baru, Kab. Aceh Tamiang, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
145,Karang Tinggi,Kab. Bengkulu Tengah,Bengkulu,"Karang Tinggi, Kab. Bengkulu Tengah","Kab. Bengkulu Tengah, Bengkulu","Karang Tinggi, Kab. Bengkulu Tengah, Bengkulu",Bengkulu,Bengkulu,380.000,2.140.000,1.628.000,1.546.000,692.000,130.000,95.000,4.364.000,2.621.000,55.000,0,0,0,150.000,110.000
146,Karanganyar,Kab. Karanganyar,Jawa Tengah,"Karanganyar, Kab. Karanganyar","Kab. Karanganyar, Jateng","Karanganyar, Kab. Karanganyar, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
147,Karangasem,Kab. Karangasem,Bali,"Karangasem, Kab. Karangasem","Kab. Karangasem, Bali","Karangasem, Kab. Karangasem, Bali",Bali,Denpasar,480.000,6.848.000,2.433.000,1.685.000,1.138.000,130.000,95.000,5.305.000,3.262.000,115.000,0,0,0,190.000,140.000
148,Karawang,Kab. Karawang,Jawa Barat,"Karawang, Kab. Karawang","Kab. Karawang, Jabar","Karawang, Kab. Karawang, Jawa Barat",Jabar,Bandung,430.000,5.812.000,2.755.000,1.298.000,686.000,130.000,95.000,75.000,75.000,0,0,0,100.000,170.000,130.000
149,Karubaga,Kab. Tolikara,Papua Pegunungan,"Karubaga, Kab. Tolikara","Kab. Tolikara, Pagu","Karubaga, Kab. Tolikara, Papua",Pagu,Wamena,580.000,5.711.000,4.911.000,3.731.000,1.536.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
150,Kasongan,Kab. Katingan,Kalimantan Tengah,"Kasongan, Kab. Katingan","Kab. Katingan, Kalteng","Kasongan, Kab. Katingan, Kalimantan Tengah",Kalteng,Palangka raya,360.000,4.901.000,3.391.000,1.160.000,659.000,130.000,95.000,4.984.000,2.984.000,55.000,0,0,0,140.000,110.000
151,Kebumen,Kab. Kebumen,Jawa Tengah,"Kebumen, Kab. Kebumen","Kab. Kebumen, Jateng","Kebumen, Kab. Kebumen, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
152,Kediri,Kediri,Jawa Timur,Kediri,"Kediri, Jatim","Kediri, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
153,Kediri.,Kab. Kediri,Jawa Timur,"Kediri., Kab. Kediri","Kab. Kediri, Jatim","Kediri., Kab. Kediri, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,5.466.000,2.674.000,115.000,0,0,500.000,160.000,120.000
154,Kefamenanu,Kab. Timor Tengah Utara,Nusa Tenggara Timur,"Kefamenanu, Kab. Timor Tengah Utara","Kab. Timor Tengah Utara, NTT","Kefamenanu, Kab. Timor Tengah Utara, Nusa Tenggara Timur",NTT,Kupang,430.000,3.750.000,2.133.000,1.355.000,688.000,130.000,95.000,9.413.000,5.081.000,60.000,0,0,0,170.000,130.000
155,Kendal,Kab. Kendal,Jawa Tengah,"Kendal, Kab. Kendal","Kab. Kendal, Jateng","Kendal, Kab. Kendal, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
156,Kendari,Kendari,Sulawesi Tenggara,Kendari,"Kendari, Sultra","Kendari, Sulawesi Tenggara",Sultra,Kendari,380.000,3.089.000,2.574.000,1.297.000,786.000,130.000,95.000,7.658.000,4.182.000,51.000,0,0,0,150.000,110.000
157,Kenyam,Kab. Nduga,Papua Pegunungan,"Kenyam, Kab. Nduga","Kab. Nduga, Pagu","Kenyam, Kab. Nduga, Papua",Pagu,Wamena,580.000,5.711.000,4.911.000,3.731.000,1.536.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
158,Kepahiang,Kab. Kepahiang,Bengkulu,"Kepahiang, Kab. Kepahiang","Kab. Kepahiang, Bengkulu","Kepahiang, Kab. Kepahiang, Bengkulu",Bengkulu,Bengkulu,380.000,2.140.000,1.628.000,1.546.000,692.000,130.000,95.000,4.364.000,2.621.000,55.000,0,0,0,150.000,110.000
159,Kepanjen,Kab. Malang,Jawa Timur,"Kepanjen, Kab. Malang","Kab. Malang, Jatim","Kepanjen, Kab. Malang, Jawa Timur",Jatim,Surabaya,410.000,4.449.000,2.007.000,1.153.000,814.000,130.000,95.000,4.599.000,2.695.000,51.000,0,0,500.000,160.000,120.000
160,Kepi,Kab. Mappi,Papua Selatan,"Kepi, Kab. Mappi","Kab. Mappi, Pasel","Kepi, Kab. Mappi, Papua",Pasel,Merauke,580.000,5.673.000,4.877.000,3.706.000,1.526.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
161,Ketapang,Kab. Ketapang,Kalimantan Barat,"Ketapang, Kab. Ketapang","Kab. Ketapang, Kalbar","Ketapang, Kab. Ketapang, Kalimantan Barat",Kalbar,Pontianak,380.000,2.654.000,1.923.000,1.125.000,538.000,130.000,95.000,4.353.000,2.781.000,70.000,0,0,0,150.000,110.000
162,Kisaran,Kab. Asahan,Sumatera Utara,"Kisaran, Kab. Asahan","Kab. Asahan, Sumut","Kisaran, Kab. Asahan, Sumatera Utara",Sumut,Medan,370.000,4.960.000,2.195.000,1.188.000,699.000,130.000,95.000,7.252.000,3.808.000,115.000,0,0,0,150.000,110.000
163,Klaten,Kab. Klaten,Jawa Tengah,"Klaten, Kab. Klaten","Kab. Klaten, Jateng","Klaten, Kab. Klaten, Jawa Tengah",Jateng,Semarang,370.000,5.728.000,1.998.000,1.201.000,810.000,130.000,95.000,3.861.000,2.342.000,70.000,0,0,400.000,150.000,110.000
164,Klungkung,Kab. Klungkung,Bali,"Klungkung, Kab. Klungkung","Kab. Klungkung, Bali","Klungkung, Kab. Klungkung, Bali",Bali,Denpasar,480.000,6.848.000,2.433.000,1.685.000,1.138.000,130.000,95.000,5.305.000,3.262.000,115.000,0,0,0,190.000,140.000
165,Koba,Kab. Bangka Tengah,Bangka Belitung,"Koba, Kab. Bangka Tengah","Kab. Bangka Tengah, Bangka Belitung","Koba, Kab. Bangka Tengah, Bangka Belitung",Bangka Belitung,Pangkal Pinang,410.000,4.134.000,2.838.000,1.957.000,676.000,130.000,95.000,3.412.000,2.139.000,60.000,0,0,0,160.000,120.000
166,Kobakma,Kab. Mamberamo Tengah,Papua Pegunungan,"Kobakma, Kab. Mamberamo Tengah","Kab. Mamberamo Tengah, Pagu","Kobakma, Kab. Mamberamo Tengah, Papua",Pagu,Wamena,580.000,5.711.000,4.911.000,3.731.000,1.536.000,130.000,95.000,14.568.000,8.193.000,70.000,0,0,0,230.000,170.000
167,Kolaka,Kab. Kolaka,Sulawesi Tenggara,"Kolaka, Kab. Kolaka","Kab. Kolaka, Sultra","Kolaka, Kab. Kolaka, Sulawesi Tenggara",Sultra,Kendari,380.000,3.089.000,2.574.000,1.297.000,786.000,130.000,95.000,7.658.000,4.182.000,51.000,0,0,0,150.000,110.000
168,Kolonodale,Kab. Morowali Utara,Sulawesi Tengah,"Kolonodale, Kab. Morowali Utara","Kab. Morowali Utara, Sulteng","Kolonodale, Kab. Morowali Utara, Sulawesi Tengah",Sulteng,Palu,370.000,4.820.000,1.938.000,1.423.000,745.000,130.000,95.000,9.348.000,5.113.000,55.000,0,0,0,150.000,110.000
169,Kota Agung,Kab. Tenggamus,Lampung,"Kota Agung, Kab. Tenggamus","Kab. Tenggamus, Lampung","Kota Agung, Kab. Tenggamus, Lampung",Lampung,Bandar Lampung,380.000,4.491.000,2.488.000,1.539.000,580.000,130.000,95.000,2.407.000,1.583.000,51.000,0,0,530.000,150.000,110.000
170,Kota Jantho,Kab. Aceh Besar,Aceh,"Kota Jantho, Kab. Aceh Besar","Kab. Aceh Besar, Aceh","Kota Jantho, Kab. Aceh Besar, Aceh",Aceh,"Banda Aceh, Aceh",360.000,4.774.000,3.526.000,1.578.000,770.000,130.000,95.000,7.519.000,4.492.000,65.000,0,0,0,140.000,110.000
171,Kota Kayu Agung,Kab. Ogan Komering Ilir,Sumatera Selatan,"Kota Kayu Agung, Kab. Ogan Komering Ilir","Kab. Ogan Komering Ilir, Sumsel","Kota Kayu Agung, Kab. Ogan Komering Ilir, Sumatera Selatan",Sumsel,Palembang,380.000,6.298.000,3.083.000,1.966.000,861.000,130.000,95.000,3.861.000,2.268.000,75.000,0,0,0,150.000,110.000
172,Kota Liwa,Kab. Lampung Barat,Lampung,"Kota Liwa, Kab. Lampung Barat","Kab. Lampung Barat, Lampung","Kota Liwa, Kab. Lampung Barat, Lampung",Lampung,Bandar Lampung,380.000,4.491.000,2.488.000,1.539.000,580.000,130.000,95.000,2.407.000,1.583.000,51.000,0,0,530.000,150.000,110.000
